title,artist,genre,mood,energy,tempo_bpm
Happy,Pharrell Williams,Pop,Happy,0.8,160
Blinding Lights,The Weeknd,Pop,Euphoric,0.7,171
Levitating,Dua Lipa,Pop,Fun,0.8,103
Good 4 U,Olivia Rodrigo,Pop,Angry,0.9,170
Stay,The Kid Laroi & Justin Bieber,Pop,Emotional,0.6,170
Drivers License,Olivia Rodrigo,Pop,Sad,0.4,144
Peaches,Justin Bieber,Pop,Fun,0.8,90
Montero (Call Me By Your Name),Lil Nas X,Pop,Confident,0.8,179
Permission to Dance,BTS,Pop,Energetic,0.8,125
Butter,BTS,Pop,Happy,0.8,110
Bohemian Rhapsody,Queen,Rock,Dramatic,0.7,72
Old Town Road,Lil Nas X,Hip-Hop,Fun,0.8,136
What a Wonderful World,Louis Armstrong,Jazz,Calm,0.3,108
Take Me Home Country Roads,John Denver,Country,Nostalgic,0.5,82
Levels,Avicii,Electronic,Euphoric,0.9,126
Moonlight Sonata,Beethoven,Classical,Melancholic,0.2,60
Three Little Birds,Bob Marley,Reggae,Relaxed,0.6,74
Skinny Love,Bon Iver,Indie,Intimate,0.4,104